verse,word,gematria
Genesis 1:14,להבדיל,81
Genesis 1:14,בין,62
Genesis 1:14,היום,61
Genesis 1:14,ובין,68
Genesis 1:14,הלילה,80
Genesis 1:14,והיו,27
Genesis 1:14,לאתת,831
Genesis 1:14,ולמועדים,206
Genesis 1:14,ולימים,136
Genesis 1:14,ושנים,406
Genesis 1:15,והיו,27
Genesis 1:15,למאורת,677
Genesis 1:15,ברקיע,382
Genesis 1:15,השמים,395
Genesis 1:15,להאיר,246
Genesis 1:15,על,100
Genesis 1:15,הארץ,296
Genesis 1:15,ויהי,31
Genesis 1:15,כן,70
Genesis 1:16,ויעש,386
Genesis 1:16,אלהים,86
Genesis 1:16,את,401
Genesis 1:16,שני,360
Genesis 1:16,המארת,646
Genesis 1:16,הגדלים,89
Genesis 1:16,את,401
Genesis 1:16,המאור,252
Genesis 1:16,הגדל,39
Genesis 1:16,לממשלת,840
Genesis 1:16,היום,61
Genesis 1:16,ואת,407
Genesis 1:16,המאור,252
Genesis 1:16,הקטן,164
Genesis 1:16,לממשלת,840
Genesis 1:16,הלילה,80
Genesis 1:16,ואת,407
Genesis 1:16,הכוכבים,103
Genesis 1:17,ויתן,466
Genesis 1:17,אתם,441
Genesis 1:17,אלהים,86
Genesis 1:17,ברקיע,382
Genesis 1:17,השמים,395
Genesis 1:17,להאיר,246
Genesis 1:17,על,100
Genesis 1:17,הארץ,296
Genesis 1:18,ולמשל,406
Genesis 1:18,ביום,58
Genesis 1:18,ובלילה,83
Genesis 1:18,ולהבדיל,87
Genesis 1:18,בין,62
Genesis 1:18,האור,212
Genesis 1:18,ובין,68
Genesis 1:18,החשך,333
Genesis 1:18,וירא,217
Genesis 1:18,אלהים,86
Genesis 1:18,כי,30
Genesis 1:18,טוב,17
Genesis 1:19,ויהי,31
Genesis 1:19,ערב,272
Genesis 1:19,ויהי,31
Genesis 1:19,בקר,302
Genesis 1:19,יום,56
Genesis 1:19,רביעי,292
Genesis 1:20,ויאמר,257
Genesis 1:20,אלהים,86
Genesis 1:20,ישרצו,606
Genesis 1:20,המים,95
Genesis 1:20,שרץ,590
Genesis 1:20,נפש,430
Genesis 1:20,חיה,23
Genesis 1:20,ועוף,162
Genesis 1:20,יעופף,246
Genesis 1:20,על,100
Genesis 1:20,הארץ,296
Genesis 1:20,על,100
Genesis 1:20,פני,140
Genesis 1:20,רקיע,380
Genesis 1:20,השמים,395
Genesis 1:21,ויברא,219
Genesis 1:21,אלהים,86
Genesis 1:21,את,401
Genesis 1:21,התנינם,555
Genesis 1:21,הגדלים,89
Genesis 1:21,ואת,407
Genesis 1:21,כל,50
Genesis 1:21,נפש,430
Genesis 1:21,החיה,28
Genesis 1:21,הרמשת,945
Genesis 1:21,אשר,501
Genesis 1:21,שרצו,596
Genesis 1:21,המים,95
Genesis 1:21,למינהם,175
Genesis 1:21,ואת,407
Genesis 1:21,כל,50
Genesis 1:21,עוף,156
Genesis 1:21,כנף,150
Genesis 1:21,למינהו,141
Genesis 1:21,וירא,217
Genesis 1:21,אלהים,86
Genesis 1:21,כי,30
Genesis 1:21,טוב,17
Genesis 1:22,ויברך,238
Genesis 1:22,אתם,441
Genesis 1:22,אלהים,86
Genesis 1:22,לאמר,271
Genesis 1:22,פרו,286
Genesis 1:22,ורבו,214
Genesis 1:22,ומלאו,83
Genesis 1:22,את,401
Genesis 1:22,המים,95
Genesis 1:22,בימים,102
Genesis 1:22,והעוף,167
Genesis 1:22,ירב,212
Genesis 1:22,בארץ,293
Genesis 1:23,ויהי,31
Genesis 1:23,ערב,272
Genesis 1:23,ויהי,31
Genesis 1:23,בקר,302
Genesis 1:23,יום,56
Genesis 1:23,חמישי,368
Genesis 1:24,ויאמר,257
Genesis 1:24,אלהים,86
Genesis 1:24,תוצא,497
Genesis 1:24,הארץ,296
Genesis 1:24,נפש,430
Genesis 1:24,חיה,23
Genesis 1:24,למינה,135
Genesis 1:24,בהמה,52
Genesis 1:24,ורמש,546
Genesis 1:24,וחיתו,430
Genesis 1:24,ארץ,291
Genesis 1:24,למינה,135
Genesis 1:24,ויהי,31
Genesis 1:24,כן,70
Genesis 1:25,ויעש,386
Genesis 1:25,אלהים,86
Genesis 1:25,את,401
Genesis 1:25,חית,418
Genesis 1:25,הארץ,296
Genesis 1:25,למינה,135
Genesis 1:25,ואת,407
Genesis 1:25,הבהמה,57
Genesis 1:25,למינה,135
Genesis 1:25,ואת,407
Genesis 1:25,כל,50
Genesis 1:25,רמש,540
Genesis 1:25,האדמה,55
Genesis 1:25,למינהו,141
Genesis 1:25,וירא,217
Genesis 1:25,אלהים,86
Genesis 1:25,כי,30
Genesis 1:25,טוב,17
Genesis 1:26,ויאמר,257
Genesis 1:26,אלהים,86
Genesis 1:26,נעשה,425
Genesis 1:26,אדם,45
Genesis 1:26,בצלמנו,218
Genesis 1:26,כדמותנו,526
Genesis 1:26,וירדו,226
Genesis 1:26,בדגת,406
Genesis 1:26,הים,55
Genesis 1:26,ובעוף,164
Genesis 1:26,השמים,395
Genesis 1:26,ובבהמה,60
Genesis 1:26,ובכל,58
Genesis 1:26,הארץ,296
Genesis 1:26,ובכל,58
Genesis 1:26,הרמש,545
Genesis 1:26,הרמש,545
Genesis 1:26,על,100
Genesis 1:26,הארץ,296
Genesis 1:27,ויברא,219
Genesis 1:27,אלהים,86
Genesis 1:27,את,401
Genesis 1:27,האדם,50
Genesis 1:27,בצלמו,168
Genesis 1:27,בצלם,162
Genesis 1:27,אלהים,86
Genesis 1:27,ברא,203
Genesis 1:27,אתו,407
Genesis 1:27,זכר,227
Genesis 1:27,ונקבה,163
Genesis 1:27,ברא,203
Genesis 1:27,אתם,441
Genesis 1:28,ויברך,238
Genesis 1:28,אתם,441
Genesis 1:28,אלהים,86
Genesis 1:28,ויאמר,257
Genesis 1:28,להם,75
Genesis 1:28,אלהים,86
Genesis 1:28,פרו,286
Genesis 1:28,ורבו,214
Genesis 1:28,ומלאו,83
Genesis 1:28,את,401
Genesis 1:28,הארץ,296
Genesis 1:28,וכבשה,333
Genesis 1:28,ורדו,216
Genesis 1:28,בדגת,406
Genesis 1:28,הים,55
Genesis 1:28,ובעוף,164
Genesis 1:28,השמים,395
Genesis 1:28,ובכל,58
Genesis 1:28,חיה,23
Genesis 1:28,הרמשת,945
Genesis 1:28,על,100
Genesis 1:28,הארץ,296
Genesis 1:29,ויאמר,257
Genesis 1:29,אלהים,86
Genesis 1:29,הנה,60
Genesis 1:29,נתתי,860
Genesis 1:29,לכם,90
Genesis 1:29,את,401
Genesis 1:29,כל,50
Genesis 1:29,עשב,372
Genesis 1:29,זרע,277
Genesis 1:29,זרע,277
Genesis 1:29,אשר,501
Genesis 1:29,על,100
Genesis 1:29,פני,140
Genesis 1:29,כל,50
Genesis 1:29,הארץ,296
Genesis 1:29,ואת,407
Genesis 1:29,כל,50
Genesis 1:29,העץ,165
Genesis 1:29,אשר,501
Genesis 1:29,בו,8
Genesis 1:29,פרי,290
Genesis 1:29,עץ,160
Genesis 1:29,זרע,277
Genesis 1:29,זרע,277
Genesis 1:29,לכם,90
Genesis 1:29,יהיה,30
Genesis 1:29,לאכלה,86
Genesis 1:30,ולכל,86
Genesis 1:30,חית,418
Genesis 1:30,הארץ,296
Genesis 1:30,ולכל,86
Genesis 1:30,עוף,156
Genesis 1:30,השמים,395
Genesis 1:30,ולכל,86
Genesis 1:30,רומש,546
Genesis 1:30,על,100
Genesis 1:30,הארץ,296
Genesis 1:30,אשר,501
Genesis 1:30,בו,8
Genesis 1:30,נפש,430
Genesis 1:30,חיה,23
Genesis 1:30,את,401
Genesis 1:30,כל,50
Genesis 1:30,ירק,310
Genesis 1:30,עשב,372
Genesis 1:30,לאכלה,86
Genesis 1:30,ויהי,31
Genesis 1:30,כן,70
Genesis 1:31,וירא,217
Genesis 1:31,אלהים,86
Genesis 1:31,את,401
Genesis 1:31,כל,50
Genesis 1:31,אשר,501
Genesis 1:31,עשה,375
Genesis 1:31,והנה,66
Genesis 1:31,טוב,17
Genesis 1:31,מאד,45
Genesis 1:31,ויהי,31
Genesis 1:31,ערב,272
Genesis 1:31,ויהי,31
Genesis 1:31,בקר,302
Genesis 1:31,יום,56
Genesis 1:31,הששי,615
Genesis 2:1,ויכלו,72
Genesis 2:1,השמים,395
Genesis 2:1,והארץ,302
Genesis 2:1,וכל,56
Genesis 2:1,צבאם,133
Genesis 2:2,ויכל,66
Genesis 2:2,אלהים,86
Genesis 2:2,ביום,58
Genesis 2:2,השביעי,397
Genesis 2:2,מלאכתו,497
Genesis 2:2,אשר,501
Genesis 2:2,עשה,375
Genesis 2:2,וישבת,718
Genesis 2:2,ביום,58
Genesis 2:2,השביעי,397
Genesis 2:2,מכל,90
Genesis 2:2,מלאכתו,497
Genesis 2:2,אשר,501
Genesis 2:2,עשה,375
Genesis 2:3,ויברך,238
Genesis 2:3,אלהים,86
Genesis 2:3,את,401
Genesis 2:3,יום,56
Genesis 2:3,השביעי,397
Genesis 2:3,ויקדש,420
Genesis 2:3,אתו,407
Genesis 2:3,כי,30
Genesis 2:3,בו,8
Genesis 2:3,שבת,702
Genesis 2:3,מכל,90
Genesis 2:3,מלאכתו,497
Genesis 2:3,אשר,501
Genesis 2:3,ברא,203
Genesis 2:3,אלהים,86
Genesis 2:3,לעשות,806
Genesis 2:4,אלה,36
Genesis 2:4,תולדות,846
Genesis 2:4,השמים,395
Genesis 2:4,והארץ,302
Genesis 2:4,בהבראם,250
Genesis 2:4,ביום,58
Genesis 2:4,עשות,776
Genesis 2:4,יהוה,26
Genesis 2:4,אלהים,86
Genesis 2:4,ארץ,291
Genesis 2:4,ושמים,396
Genesis 2:5,וכל,56
Genesis 2:5,שיח,318
Genesis 2:5,השדה,314
Genesis 2:5,טרם,249
Genesis 2:5,יהיה,30
Genesis 2:5,בארץ,293
Genesis 2:5,וכל,56
Genesis 2:5,עשב,372
Genesis 2:5,השדה,314
Genesis 2:5,טרם,249
Genesis 2:5,יצמח,148
Genesis 2:5,כי,30
Genesis 2:5,לא,31
Genesis 2:5,המטיר,264
Genesis 2:5,יהוה,26
Genesis 2:5,אלהים,86
Genesis 2:5,על,100
Genesis 2:5,הארץ,296
Genesis 2:5,ואדם,51
Genesis 2:5,אין,61
Genesis 2:5,לעבד,106
Genesis 2:5,את,401
Genesis 2:5,האדמה,55
Genesis 2:6,ואד,11
Genesis 2:6,יעלה,115
Genesis 2:6,מן,90
Genesis 2:6,הארץ,296
Genesis 2:6,והשקה,416
Genesis 2:6,את,401
Genesis 2:6,כל,50
Genesis 2:6,פני,140
Genesis 2:6,האדמה,55
Genesis 2:7,וייצר,316
Genesis 2:7,יהוה,26
Genesis 2:7,אלהים,86
Genesis 2:7,את,401
Genesis 2:7,האדם,50
Genesis 2:7,עפר,350
Genesis 2:7,מן,90
Genesis 2:7,האדמה,55
Genesis 2:7,ויפח,104
Genesis 2:7,באפיו,99
Genesis 2:7,נשמת,790
Genesis 2:7,חיים,68
Genesis 2:7,ויהי,31
Genesis 2:7,האדם,50
Genesis 2:7,לנפש,460
Genesis 2:7,חיה,23
Genesis 2:8,ויטע,95
Genesis 2:8,יהוה,26
Genesis 2:8,אלהים,86
Genesis 2:8,גן,50
Genesis 2:8,בעדן,126
Genesis 2:8,מקדם,184
Genesis 2:8,וישם,356
Genesis 2:8,שם,340
Genesis 2:8,את,401
Genesis 2:8,האדם,50
Genesis 2:8,אשר,501
Genesis 2:8,יצר,300
Genesis 2:9,ויצמח,154
Genesis 2:9,יהוה,26
Genesis 2:9,אלהים,86
Genesis 2:9,מן,90
Genesis 2:9,האדמה,55
Genesis 2:9,כל,50
Genesis 2:9,עץ,160
Genesis 2:9,נחמד,102
Genesis 2:9,למראה,276
Genesis 2:9,וטוב,23
Genesis 2:9,למאכל,121
Genesis 2:9,ועץ,166
Genesis 2:9,החיים,73
Genesis 2:9,בתוך,428
Genesis 2:9,הגן,55
Genesis 2:9,ועץ,166
Genesis 2:9,הדעת,479
Genesis 2:9,טוב,17
Genesis 2:9,ורע,276
Genesis 2:10,ונהר,261
Genesis 2:10,יצא,101
Genesis 2:10,מעדן,164
Genesis 2:10,להשקות,841
Genesis 2:10,את,401
Genesis 2:10,הגן,55
Genesis 2:10,ומשם,386
Genesis 2:10,יפרד,294
Genesis 2:10,והיה,26
Genesis 2:10,לארבעה,308
Genesis 2:10,ראשים,551
Genesis 2:11,שם,340
Genesis 2:11,האחד,18
Genesis 2:11,פישון,446
Genesis 2:11,הוא,12
Genesis 2:11,הסבב,69
Genesis 2:11,את,401
Genesis 2:11,כל,50
Genesis 2:11,ארץ,291
Genesis 2:11,החוילה,64
Genesis 2:11,אשר,501
Genesis 2:11,שם,340
Genesis 2:11,הזהב,19
Genesis 2:12,וזהב,20
Genesis 2:12,הארץ,296
Genesis 2:12,ההוא,17
Genesis 2:12,טוב,17
Genesis 2:12,שם,340
Genesis 2:12,הבדלח,49
Genesis 2:12,ואבן,59
Genesis 2:12,השהם,350
Genesis 2:13,ושם,346
Genesis 2:13,הנהר,260
Genesis 2:13,השני,365
Genesis 2:13,גיחון,74
Genesis 2:13,הוא,12
Genesis 2:13,הסובב,75
Genesis 2:13,את,401
Genesis 2:13,כל,50
Genesis 2:13,ארץ,291
Genesis 2:13,כוש,326
Genesis 2:14,ושם,346
Genesis 2:14,הנהר,260
Genesis 2:14,השלישי,655
Genesis 2:14,חדקל,142
Genesis 2:14,הוא,12
Genesis 2:14,ההלך,60
Genesis 2:14,קדמת,544
Genesis 2:14,אשור,507
Genesis 2:14,והנהר,266
Genesis 2:14,הרביעי,297
Genesis 2:14,הוא,12
Genesis 2:14,פרת,680
Genesis 2:15,ויקח,124
Genesis 2:15,יהוה,26
Genesis 2:15,אלהים,86
Genesis 2:15,את,401
Genesis 2:15,האדם,50
Genesis 2:15,וינחהו,85
Genesis 2:15,בגן,52
Genesis 2:15,עדן,124
Genesis 2:15,לעבדה,111
Genesis 2:15,ולשמרה,581
Genesis 2:16,ויצו,112
Genesis 2:16,יהוה,26
Genesis 2:16,אלהים,86
Genesis 2:16,על,100
Genesis 2:16,האדם,50
Genesis 2:16,לאמר,271
Genesis 2:16,מכל,90
Genesis 2:16,עץ,160
Genesis 2:16,הגן,55
Genesis 2:16,אכל,51
Genesis 2:16,תאכל,451
Genesis 2:17,ומעץ,206
Genesis 2:17,הדעת,479
Genesis 2:17,טוב,17
Genesis 2:17,ורע,276
Genesis 2:17,לא,31
Genesis 2:17,תאכל,451
Genesis 2:17,ממנו,136
Genesis 2:17,כי,30
Genesis 2:17,ביום,58
Genesis 2:17,אכלך,71
Genesis 2:17,ממנו,136
Genesis 2:17,מות,446
Genesis 2:17,תמות,846
Genesis 2:18,ויאמר,257
Genesis 2:18,יהוה,26
Genesis 2:18,אלהים,86
Genesis 2:18,לא,31
Genesis 2:18,טוב,17
Genesis 2:18,היות,421
Genesis 2:18,האדם,50
Genesis 2:18,לבדו,42
Genesis 2:18,אעשה,376
Genesis 2:18,לו,36
Genesis 2:18,עזר,277
Genesis 2:18,כנגדו,80
Genesis 2:19,ויצר,306
Genesis 2:19,יהוה,26
Genesis 2:19,אלהים,86
Genesis 2:19,מן,90
Genesis 2:19,האדמה,55
Genesis 2:19,כל,50
Genesis 2:19,חית,418
Genesis 2:19,השדה,314
Genesis 2:19,ואת,407
Genesis 2:19,כל,50
Genesis 2:19,עוף,156
Genesis 2:19,השמים,395
Genesis 2:19,ויבא,19
Genesis 2:19,אל,31
Genesis 2:19,האדם,50
Genesis 2:19,לראות,637
Genesis 2:19,מה,45
Genesis 2:19,יקרא,311
Genesis 2:19,לו,36
Genesis 2:19,וכל,56
Genesis 2:19,אשר,501
Genesis 2:19,יקרא,311
Genesis 2:19,לו,36
Genesis 2:19,האדם,50
Genesis 2:19,נפש,430
Genesis 2:19,חיה,23
Genesis 2:19,הוא,12
Genesis 2:19,שמו,346
Genesis 2:20,ויקרא,317
Genesis 2:20,האדם,50
Genesis 2:20,שמות,746
Genesis 2:20,לכל,80
Genesis 2:20,הבהמה,57
Genesis 2:20,ולעוף,192
Genesis 2:20,השמים,395
Genesis 2:20,ולכל,86
Genesis 2:20,חית,418
Genesis 2:20,השדה,314
Genesis 2:20,ולאדם,81
Genesis 2:20,לא,31
Genesis 2:20,מצא,131
Genesis 2:20,עזר,277
Genesis 2:20,כנגדו,80
Genesis 2:21,ויפל,126
Genesis 2:21,יהוה,26
Genesis 2:21,אלהים,86
Genesis 2:21,תרדמה,649
Genesis 2:21,על,100
Genesis 2:21,האדם,50
Genesis 2:21,ויישן,376
Genesis 2:21,ויקח,124
Genesis 2:21,אחת,409
Genesis 2:21,מצלעתיו,646
Genesis 2:21,ויסגר,276
Genesis 2:21,בשר,502
Genesis 2:21,תחתנה,863
Genesis 2:22,ויבן,68
Genesis 2:22,יהוה,26
Genesis 2:22,אלהים,86
Genesis 2:22,את,401
Genesis 2:22,הצלע,195
Genesis 2:22,אשר,501
Genesis 2:22,לקח,138
Genesis 2:22,מן,90
Genesis 2:22,האדם,50
Genesis 2:22,לאשה,336
Genesis 2:22,ויבאה,24
Genesis 2:22,אל,31
Genesis 2:22,האדם,50
Genesis 2:23,ויאמר,257
Genesis 2:23,האדם,50
Genesis 2:23,זאת,408
Genesis 2:23,הפעם,195
Genesis 2:23,עצם,200
Genesis 2:23,מעצמי,250
Genesis 2:23,ובשר,508
Genesis 2:23,מבשרי,552
Genesis 2:23,לזאת,438
Genesis 2:23,יקרא,311
Genesis 2:23,אשה,306
Genesis 2:23,כי,30
Genesis 2:23,מאיש,351
Genesis 2:23,לקחה,143
Genesis 2:23,זאת,408
Genesis 2:24,על,100
Genesis 2:24,כן,70
Genesis 2:24,יעזב,89
Genesis 2:24,איש,311
Genesis 2:24,את,401
Genesis 2:24,אביו,19
Genesis 2:24,ואת,407
Genesis 2:24,אמו,47
Genesis 2:24,ודבק,112
Genesis 2:24,באשתו,709
Genesis 2:24,והיו,27
Genesis 2:24,לבשר,532
Genesis 2:24,אחד,13
Genesis 2:25,ויהיו,37
Genesis 2:25,שניהם,405
Genesis 2:25,ערומים,366
Genesis 2:25,האדם,50
Genesis 2:25,ואשתו,713
Genesis 2:25,ולא,37
Genesis 2:25,יתבששו,1018
Genesis 3:1,והנחש,369
Genesis 3:1,היה,20
Genesis 3:1,ערום,316
Genesis 3:1,מכל,90
Genesis 3:1,חית,418
Genesis 3:1,השדה,314
Genesis 3:1,אשר,501
Genesis 3:1,עשה,375
Genesis 3:1,יהוה,26
Genesis 3:1,אלהים,86
Genesis 3:1,ויאמר,257
Genesis 3:1,אל,31
Genesis 3:1,האשה,311
Genesis 3:1,אף,81
Genesis 3:1,כי,30
Genesis 3:1,אמר,241
Genesis 3:1,אלהים,86
Genesis 3:1,לא,31
Genesis 3:1,תאכלו,457
Genesis 3:1,מכל,90
Genesis 3:1,עץ,160
Genesis 3:1,הגן,55
Genesis 3:2,ותאמר,647
Genesis 3:2,האשה,311
Genesis 3:2,אל,31
Genesis 3:2,הנחש,363
Genesis 3:2,מפרי,330
Genesis 3:2,עץ,160
Genesis 3:2,הגן,55
Genesis 3:2,נאכל,101
Genesis 3:3,ומפרי,336
Genesis 3:3,העץ,165
Genesis 3:3,אשר,501
Genesis 3:3,בתוך,428
Genesis 3:3,הגן,55
Genesis 3:3,אמר,241
Genesis 3:3,אלהים,86
Genesis 3:3,לא,31
Genesis 3:3,תאכלו,457
Genesis 3:3,ממנו,136
Genesis 3:3,ולא,37
Genesis 3:3,תגעו,476
Genesis 3:3,בו,8
Genesis 3:3,פן,130
Genesis 3:3,תמתון,896
Genesis 3:4,ויאמר,257
Genesis 3:4,הנחש,363
Genesis 3:4,אל,31
Genesis 3:4,האשה,311
Genesis 3:4,לא,31
Genesis 3:4,מות,446
Genesis 3:4,תמתון,896
Genesis 3:5,כי,30
Genesis 3:5,ידע,84
Genesis 3:5,אלהים,86
Genesis 3:5,כי,30
Genesis 3:5,ביום,58
Genesis 3:5,אכלכם,111
Genesis 3:5,ממנו,136
Genesis 3:5,ונפקחו,250
Genesis 3:5,עיניכם,200
Genesis 3:5,והייתם,471
Genesis 3:5,כאלהים,106
Genesis 3:5,ידעי,94
Genesis 3:5,טוב,17
Genesis 3:5,ורע,276
Genesis 3:6,ותרא,607
Genesis 3:6,האשה,311
Genesis 3:6,כי,30
Genesis 3:6,טוב,17
Genesis 3:6,העץ,165
Genesis 3:6,למאכל,121
Genesis 3:6,וכי,36
Genesis 3:6,תאוה,412
Genesis 3:6,הוא,12
Genesis 3:6,לעינים,210
Genesis 3:6,ונחמד,108
Genesis 3:6,העץ,165
Genesis 3:6,להשכיל,395
Genesis 3:6,ותקח,514
Genesis 3:6,מפריו,336
Genesis 3:6,ותאכל,457
Genesis 3:6,ותתן,856
Genesis 3:6,גם,40
Genesis 3:6,לאישה,346
Genesis 3:6,עמה,115
Genesis 3:6,ויאכל,67
Genesis 3:7,ותפקחנה,649
Genesis 3:7,עיני,140
Genesis 3:7,שניהם,405
Genesis 3:7,וידעו,96
Genesis 3:7,כי,30
Genesis 3:7,עירמם,360
Genesis 3:7,הם,45
Genesis 3:7,ויתפרו,702
Genesis 3:7,עלה,105
Genesis 3:7,תאנה,456
Genesis 3:7,ויעשו,392
Genesis 3:7,להם,75
Genesis 3:7,חגרת,608
Genesis 3:8,וישמעו,432
Genesis 3:8,את,401
Genesis 3:8,קול,136
Genesis 3:8,יהוה,26
Genesis 3:8,אלהים,86
Genesis 3:8,מתהלך,495
Genesis 3:8,בגן,52
Genesis 3:8,לרוח,244
Genesis 3:8,היום,61
Genesis 3:8,ויתחבא,427
Genesis 3:8,האדם,50
Genesis 3:8,ואשתו,713
Genesis 3:8,מפני,180
Genesis 3:8,יהוה,26
Genesis 3:8,אלהים,86
Genesis 3:8,בתוך,428
Genesis 3:8,עץ,160
Genesis 3:8,הגן,55
Genesis 3:9,ויקרא,317
Genesis 3:9,יהוה,26
Genesis 3:9,אלהים,86
Genesis 3:9,אל,31
Genesis 3:9,האדם,50
Genesis 3:9,ויאמר,257
Genesis 3:9,לו,36
Genesis 3:9,איכה,36
Genesis 3:10,ויאמר,257
Genesis 3:10,את,401
Genesis 3:10,קלך,150
Genesis 3:10,שמעתי,820
Genesis 3:10,בגן,52
Genesis 3:10,ואירא,218
Genesis 3:10,כי,30
Genesis 3:10,עירם,320
Genesis 3:10,אנכי,81
Genesis 3:10,ואחבא,18
Genesis 3:11,ויאמר,257
Genesis 3:11,מי,50
Genesis 3:11,הגיד,19
Genesis 3:11,לך,50
Genesis 3:11,כי,30
Genesis 3:11,עירם,320
Genesis 3:11,אתה,406
Genesis 3:11,המן,95
Genesis 3:11,העץ,165
Genesis 3:11,אשר,501
Genesis 3:11,צויתיך,536
